ProvinceCode,MarriageYear,RegistrationYear,BridegroomAge,BrideAge,AgeDiff
KwaZulu-Natal,1996,2018,38,31,Bridegroom older
KwaZulu-Natal,2018,2018,47,28,Bridegroom older
KwaZulu-Natal,2018,2018,35,25,Bridegroom older
KwaZulu-Natal,2017,2018,32,24,Bridegroom older
Eastern Cape,1989,2018,30,23,Bridegroom older
KwaZulu-Natal,1971,2018,31,29,Bridegroom older
KwaZulu-Natal,1972,2018,26,24,Bridegroom older
KwaZulu-Natal,1987,2018,40,22,Bridegroom older
KwaZulu-Natal,1978,2018,31,31,Spouses same age
KwaZulu-Natal,1989,2018,42,35,Bridegroom older
KwaZulu-Natal,1985,2018,37,31,Bridegroom older
KwaZulu-Natal,1978,2018,28,22,Bridegroom older
KwaZulu-Natal,1995,2018,45,37,Bridegroom older
KwaZulu-Natal,1979,2018,28,21,Bridegroom older
KwaZulu-Natal,1973,2018,20,18,Bridegroom older
KwaZulu-Natal,1980,2018,26,26,Spouses same age
KwaZulu-Natal,1980,2018,25,22,Bridegroom older
KwaZulu-Natal,1981,2018,25,20,Bridegroom older
KwaZulu-Natal,1983,2018,26,24,Bridegroom older
KwaZulu-Natal,1980,2018,22,22,Spouses same age
KwaZulu-Natal,1991,2018,33,38,Bridegroom younger
KwaZulu-Natal,1988,2018,30,23,Bridegroom older
KwaZulu-Natal,1980,2018,22,20,Bridegroom older
KwaZulu-Natal,1984,2018,25,26,Bridegroom younger
KwaZulu-Natal,1994,2018,32,29,Bridegroom older
KwaZulu-Natal,1997,2018,35,33,Bridegroom older
KwaZulu-Natal,1985,2018,22,22,Spouses same age
KwaZulu-Natal,1990,2018,26,22,Bridegroom older
KwaZulu-Natal,1991,2018,26,25,Bridegroom older
KwaZulu-Natal,1991,2018,24,19,Bridegroom older
KwaZulu-Natal,1991,2018,24,19,Bridegroom older
KwaZulu-Natal,2001,2018,27,23,Bridegroom older
KwaZulu-Natal,2018,2018,44,33,Bridegroom older
KwaZulu-Natal,2018,2018,37,28,Bridegroom older
KwaZulu-Natal,2018,2018,50,47,Bridegroom older
Gauteng,2014,2018,41,36,Bridegroom older
Gauteng,2013,2018,31,27,Bridegroom older
KwaZulu-Natal,1991,2018,33,29,Bridegroom older
KwaZulu-Natal,1976,2018,31,26,Bridegroom older
KwaZulu-Natal,1977,2018,27,24,Bridegroom older
KwaZulu-Natal,1980,2018,29,21,Bridegroom older
KwaZulu-Natal,1975,2018,21,15,Bridegroom older
KwaZulu-Natal,2018,2018,44,43,Bridegroom older
KwaZulu-Natal,2017,2018,42,41,Bridegroom older
KwaZulu-Natal,2018,2018,35,32,Bridegroom older
Western Cape,2018,2018,31,30,Bridegroom older
Free State,2013,2018,34,27,Bridegroom older
Eastern Cape,2017,2018,71,66,Bridegroom older
Eastern Cape,1983,2018,24,15,Bridegroom older
Eastern Cape,1990,2018,25,18,Bridegroom older
