ProvinceCode,RegistrationMonth,RegistrationYear,Spouse1Age,Spouse2Age,AgeDiff
Free State,June,2018,37,29,Spouses-1 older
Free State,August,2018,31,23,Spouses-1 older
Free State,September,2018,35,48,Spouses-1 younger
Free State,September,2018,34,36,Spouses-1 younger
Free State,September,2018,39,30,Spouses-1 older
Free State,September,2018,44,43,Spouses-1 older
Free State,October,2018,27,32,Spouses-1 younger
Free State,October,2018,41,40,Spouses-1 older
Free State,October,2018,34,21,Spouses-1 older
Free State,October,2018,38,48,Spouses-1 younger
Free State,November,2018,28,24,Spouses-1 older
Free State,December,2018,39,33,Spouses-1 older
Western Cape,October,2018,30,29,Spouses-1 older
Western Cape,October,2018,24,33,Spouses-1 younger
KwaZulu-Natal,April,2018,29,33,Spouses-1 younger
KwaZulu-Natal,June,2018,38,31,Spouses-1 older
Gauteng,February,2018,19,20,Spouses-1 younger
Gauteng,December,2018,36,37,Spouses-1 younger
Gauteng,January,2018,32,26,Spouses-1 older
Gauteng,April,2018,39,32,Spouses-1 older
Gauteng,April,2018,27,26,Spouses-1 older
Gauteng,April,2018,31,38,Spouses-1 younger
Gauteng,April,2018,25,32,Spouses-1 younger
Gauteng,April,2018,46,37,Spouses-1 older
Gauteng,June,2018,29,28,Spouses-1 older
Gauteng,August,2018,39,33,Spouses-1 older
Gauteng,August,2018,41,47,Spouses-1 younger
Gauteng,November,2018,44,43,Spouses-1 older
Gauteng,November,2018,35,27,Spouses-1 older
Gauteng,November,2018,47,46,Spouses-1 older
Gauteng,November,2018,60,42,Spouses-1 older
Gauteng,December,2018,24,27,Spouses-1 younger
Western Cape,April,2018,32,25,Spouses-1 older
Western Cape,July,2018,33,28,Spouses-1 older
Western Cape,September,2018,37,49,Spouses-1 younger
Gauteng,January,2018,37,33,Spouses-1 older
Gauteng,March,2018,34,26,Spouses-1 older
Gauteng,March,2018,30,22,Spouses-1 older
Gauteng,March,2018,34,24,Spouses-1 older
Gauteng,May,2018,37,32,Spouses-1 older
Gauteng,May,2018,28,22,Spouses-1 older
Gauteng,May,2018,21,33,Spouses-1 younger
Gauteng,July,2018,48,46,Spouses-1 older
Gauteng,August,2018,24,25,Spouses-1 younger
Gauteng,September,2018,28,27,Spouses-1 older
Gauteng,September,2018,44,46,Spouses-1 younger
Gauteng,September,2018,34,33,Spouses-1 older
Gauteng,October,2018,49,43,Spouses-1 older
Gauteng,October,2018,29,27,Spouses-1 older
Gauteng,November,2018,41,49,Spouses-1 younger
Gauteng,November,2018,24,27,Spouses-1 younger
North West,January,2018,44,50,Spouses-1 younger
North West,June,2018,37,37,Spouses same age
North West,October,2018,32,50,Spouses-1 younger
Gauteng,March,2018,35,37,Spouses-1 younger
Gauteng,May,2018,29,37,Spouses-1 younger
Gauteng,July,2018,35,36,Spouses-1 younger
Gauteng,November,2018,49,33,Spouses-1 older
Gauteng,October,2018,34,30,Spouses-1 older
Gauteng,October,2018,32,33,Spouses-1 younger
Gauteng,November,2018,29,30,Spouses-1 younger
Mpumalanga,September,2018,48,39,Spouses-1 older
Free State,February,2018,39,49,Spouses-1 younger
Free State,September,2018,30,34,Spouses-1 younger
Free State,September,2018,33,27,Spouses-1 older
Western Cape,March,2018,37,28,Spouses-1 older
Western Cape,March,2018,26,29,Spouses-1 younger
Eastern Cape,December,2018,27,28,Spouses-1 younger
Eastern Cape,August,2018,36,31,Spouses-1 older
Western Cape,February,2018,60,56,Spouses-1 older
Western Cape,March,2018,45,36,Spouses-1 older
Western Cape,April,2018,60,52,Spouses-1 older
Western Cape,February,2018,47,32,Spouses-1 older
Western Cape,May,2018,58,55,Spouses-1 older
Western Cape,June,2018,67,69,Spouses-1 younger
Western Cape,July,2018,23,22,Spouses-1 older
Western Cape,July,2018,41,47,Spouses-1 younger
Western Cape,December,2018,47,46,Spouses-1 older
Western Cape,December,2018,34,27,Spouses-1 older
Western Cape,December,2018,31,28,Spouses-1 older
Western Cape,December,2018,40,33,Spouses-1 older
Western Cape,December,2018,54,52,Spouses-1 older
Western Cape,December,2018,25,24,Spouses-1 older
Western Cape,December,2018,61,50,Spouses-1 older
Western Cape,December,2018,29,24,Spouses-1 older
Western Cape,December,2018,37,30,Spouses-1 older
Western Cape,January,2018,55,48,Spouses-1 older
Western Cape,January,2018,52,41,Spouses-1 older
Western Cape,January,2018,50,41,Spouses-1 older
Western Cape,January,2018,53,41,Spouses-1 older
Western Cape,January,2018,33,40,Spouses-1 younger
Western Cape,January,2018,36,33,Spouses-1 older
Western Cape,January,2018,28,26,Spouses-1 older
Western Cape,January,2018,36,26,Spouses-1 older
Western Cape,January,2018,42,33,Spouses-1 older
Western Cape,January,2018,29,41,Spouses-1 younger
Western Cape,January,2018,50,46,Spouses-1 older
Western Cape,February,2018,40,45,Spouses-1 younger
Western Cape,February,2018,32,41,Spouses-1 younger
Western Cape,February,2018,38,30,Spouses-1 older
Western Cape,February,2018,25,34,Spouses-1 younger
Western Cape,February,2018,25,26,Spouses-1 younger
Western Cape,February,2018,37,30,Spouses-1 older
Western Cape,February,2018,34,34,Spouses same age
Western Cape,February,2018,57,56,Spouses-1 older
Western Cape,February,2018,52,43,Spouses-1 older
Western Cape,February,2018,32,34,Spouses-1 younger
Western Cape,February,2018,25,37,Spouses-1 younger
Western Cape,February,2018,58,37,Spouses-1 older
Western Cape,March,2018,32,29,Spouses-1 older
Western Cape,March,2018,28,36,Spouses-1 younger
Western Cape,March,2018,31,29,Spouses-1 older
Western Cape,March,2018,31,28,Spouses-1 older
Western Cape,March,2018,25,23,Spouses-1 older
Western Cape,March,2018,31,33,Spouses-1 younger
Western Cape,March,2018,53,47,Spouses-1 older
Western Cape,March,2018,33,32,Spouses-1 older
Western Cape,March,2018,45,34,Spouses-1 older
Western Cape,March,2018,50,40,Spouses-1 older
Western Cape,March,2018,30,32,Spouses-1 younger
Western Cape,March,2018,27,29,Spouses-1 younger
Western Cape,March,2018,26,28,Spouses-1 younger
Western Cape,March,2018,32,22,Spouses-1 older
Western Cape,March,2018,25,27,Spouses-1 younger
Western Cape,March,2018,39,49,Spouses-1 younger
Western Cape,March,2018,37,37,Spouses same age
Western Cape,March,2018,44,41,Spouses-1 older
Western Cape,March,2018,34,44,Spouses-1 younger
Western Cape,March,2018,62,59,Spouses-1 older
Western Cape,March,2018,32,32,Spouses same age
Western Cape,March,2018,37,36,Spouses-1 older
Western Cape,March,2018,56,62,Spouses-1 younger
Western Cape,March,2018,39,37,Spouses-1 older
Western Cape,March,2018,36,36,Spouses same age
Western Cape,March,2018,42,39,Spouses-1 older
Western Cape,March,2018,32,39,Spouses-1 younger
Western Cape,March,2018,26,23,Spouses-1 older
Western Cape,March,2018,40,34,Spouses-1 older
Western Cape,April,2018,35,37,Spouses-1 younger
Western Cape,April,2018,36,31,Spouses-1 older
Western Cape,April,2018,30,32,Spouses-1 younger
Western Cape,April,2018,35,38,Spouses-1 younger
Western Cape,April,2018,54,51,Spouses-1 older
Western Cape,April,2018,30,36,Spouses-1 younger
Western Cape,April,2018,24,25,Spouses-1 younger
Western Cape,April,2018,44,41,Spouses-1 older
Western Cape,April,2018,27,25,Spouses-1 older
Western Cape,April,2018,30,30,Spouses same age
Western Cape,April,2018,28,25,Spouses-1 older
Western Cape,April,2018,53,45,Spouses-1 older
